" Select Shipping Method"," Izberite metodo pošiljanja"
"<br/>Trace confirmation request:<br/>%s","<br/>Izsledite zahtevek potrditve:<br/>%s"
"Access Key","Ključ dostopa"
"Access Key ID","ID ključa dostopa"
"Amazon Simple Pay","Amazon Simple Pay"
"Amazon Simple Pay notification error","Obvestilo napake Amazon Simple Pay"
"Amazon Simple Pay service capture confirmation error: confirmation request amount is not equal to the amount of order.","Storitev Amazon Simple Pay zajema napako potrjevanja: znesek zahtevka potrditve ni enak znesku naročila."
"Amazon Simple Pay service capture confirmation error: the amount in the existing invoice does not match the amount in the confirmation request.","Storitev Amazon Simple Pay zajema napako potrjevanja: znesek v obstoječem računu se ne ujema z zneskom v zahtevku potrjevanja."
"Amazon Simple Pay service capture confirmation error: the existing transaction ID does not match the transaction ID in the confirmation request.","Storitev Amazon Simple Pay zajema napako potrjevanja: ID obstoječe transakcije se ne ujema z ID-jem transakcije v zahtevku potrejevanja."
"Amazon Simple Pay service capture confirmation. The invoice was captured automatically.","Storitev Amazon Simple Pay zajema potrditev. Račun je bil avtomatsko zajet."
"Amazon Simple Pay service confirmation error: order states sequence violation.","Napaka potrjevanja storitve Amazon Simple Pay: kršenje sekvence stanja naročila."
"Amazon Simple Pay service confirmation error: the order currency does not match the currency of the IPN request.","Napaka storitve potrjevanja Amazon Simple Pay: valuta naročila se ne ujema z valuto zahtevka IPN."
"Amazon Simple Pay service confirmation error: the order specified in the IPN request cannot be found.","Napaka potrjevanja storitve Amazon Simple Pay: naročila določenega v zahtevku IPN ni mogoče najti."
"Amazon Simple Pay service confirmation error: the payment method in the order is not Amazon Simple Pay.","Napaka potrjevanja storitve Amazon Simple Pay: način plačila v naročilu ni Amazon Simple Pay."
"Amazon Simple Pay service confirmed capture for invoice %s.","Storitev Amazon Simple Pay je potrdila zajem za račun %s."
"Amazon Simple Pay service confirmed refund for credit memo %s.","Storitev Amazon Simple Pay je potrdila vračilo za dobropis %s."
"Amazon Simple Pay service has confirmed amount authorization.","Storitev Amazon Simple Pay je potrdila znesek avtorizacije."
"Amazon Simple Pay service has confirmed cancelation.","Storitev Amazon Simple Pay je potrdila preklic."
"Amazon Simple Pay service has confirmed capture for invoice %s. The invoice was automatically captured.","Storitev Amazon Simple Pay je potrdila zajetje za račun %s. Račun je bil avtomatično zajet."
"Amazon Simple Pay service has confirmed capture initiation.","Storitev Amazon Simple Pay je potrdila zajetje začetka."
"Amazon Simple Pay service has confirmed capture.","Storitev Amazon Simple Pay je potrdila zajetje."
"Amazon Simple Pay service has confirmed payment capture. Invoice %s was automatically created after confirmation.","Storitev Amazon Simple Pay je potrdila zajetje plačila. Račun %s je bil avtomatično ustvarjen po potrditvi."
"Amazon Simple Pay service has confirmed payment capture. Invoice was created automatically.","Storitev Amazon Simple Pay je potrdila zajetje plačila. Račun je bil ustvarjen avtomatično."
"Amazon Simple Pay service has confirmed payment refund. Credit memo %s was automatically created after confirmation.","Storitev Amazon Simple Pay je potrdila vračilo plačila. Dobropis %s je bil avtomatično ustvarjen po potrditvi."
"Amazon Simple Pay service has confirmed payment refund. Credit memo was created automatically.","Storitev Amazon Simple Pay je potrdila vračilo plačila. Dobropis je bil avtomatično ustvarjen."
"Amazon Simple Pay service has confirmed payment refund. The credit memo was created automatically.","Storitev Amazon Simple Pay je potrdila vračilo plačila. Dobropis je bil avtomatično ustvarjen."
"Amazon Simple Pay service has confirmed refund.","Storitev Amazon Simple Pay je potrdila vračilo."
"Amazon Simple Pay service has confirmed refund. The credit memo was processed automatically.","Storitev Amazon Simple Pay je potrdila vračilo. Dobropis je bil procesiran avtomatično."
"Amazon Simple Pay service has confirmed refunded credit memo %s. The credit memo was processed automatically.","Storitev Amazon Simple Pay je potrdila vrnjen dobropis %s. Dobropis je bil procesiran avtomatično."
"Amazon Simple Pay service is not available. Payment was not processed.","Storitev Amazon Simple Pay ni na voljo. Plačilo ni bilo procesirano."
"Amazon Simple Pay service payment confirmation has failed.","Potrjevanje storitve Amazon Simple Pay ni bilo uspešno."
"Amazon Simple Pay service refund confirmation error: the amount in the existing creditmemo does not match the amount in the confirmation request.","Napaka potrjevanja vračila storitve Amazon Simple Pay: znesek v obstoječem dobropisu se ne ujema z zneskom v zahtevku potrjevanja."
"Amazon Simple Pay service refund confirmation error: the confirmation request amount does not match the order amount.","Napaka potrjevanja vračila storitve Amazon Simple Pay: zahtevek potrjevanja se ne ujema z zneskom naročila."
"Amazon Simple Pay service refund confirmation error: the transaction ID in the existing creditmemo does not match the transaction ID in the confirmation request.","Napaka potrjevanja vračila storitve Amazon Simple Pay: ID transakcije v obstoječem dobropisu se ne ujema z zahtevkom potrditve."
"Authorize Only","Samo avtorizacija"
"Authorize and Capture","Avtorizacija in zajemanje"
"Cancel Description","Prekličite opis"
"Cancel Order Notification received from Checkout by Amazon service.","Prekličite obvestilo naročila prejeto iz naročila od storitve Amazon."
"Checkout by Amazon","Naročilo z Amazon-om"
"Continue Shopping","Nadaljujte nakupovanje"
"Customer was redirected to Amazon Simple Pay site","Kupec je bila preusmerjen na stran Amazon Simple Pay"
"Debug","Razhroščevanje"
"Debug Log","Dnevnik razhroščevanja"
"Email Sender","Pošiljatelj e-pošte"
"Enable","Omogočite"
"Error Log","Dnevnik napak"
"FPS Sandbox Service URI","URI sandbox storitve FPS"
"FPS Service URI","URI storitve FPS"
"Immediate Return","Takojšnja vrnitev"
"Invalid action code.","Neveljavna koda akcije."
"Invalid request.","Neveljavni zahtevek."
"Invoice was created with Checkout by Amazon.","Račun je bil ustvarjen pri nakupu z Amazon-om."
"Merchant ID","ID trgovca"
"Merchant Login","Prijava trgovca"
"Merchant Name","Ime trgovca"
"Merchant Password","Geslo trgovca"
"Merchant Token","Žeton trgovca"
"Method Choice Checkout Message","Način izbire sporočila naročila"
"New Order Notification received from Checkout by Amazon service.","Prejeto novo obvestilo naročila iz naročila preko storitve Amazon."
"New Order Status","Nov status naročila"
"Notification Error Transactional Email","Obvestilo o napaki transakcijske e-pošte"
"Order Ready To Ship Notification received form Checkout by Amazon service.","Prejeto obvestilo naročila pripravljenega za dostavo iz naročila s storitvijo Amazon."
"Order was canceled with Checkout by Amazon.","Naročilo je bilo preklicano z naročilom iz Amazon-a."
"Payment Action","Akcija plačila"
"Payment Description","Opis plačila"
"Payment Sandbox Service URI","URI sandbox storitve plačila"
"Payment Service URI","URI storitve plačila"
"Payment authorization canceled with Amazon Simple Pay service.","Avtorizacija plačila preklicana s storitvijo Amazon Simple Pay."
"Pending Amazon Simple Pay","Amazon Simple Pay na čakanju"
"Redirect Message","Preusmerjeno sporočilo"
"Refund Description","Opis vračila"
"Refund was created with Checkout by Amazon.","Vračilo je bilo ustvarjeno z naročilo preko Amazon-a."
"Report Email","E-pošta poročila"
"Report Error to Email","Poročanje napake na e-pošto"
"Response body is not a valid FPS response.","Telo odziva ni veljaven odziv FPS."
"SUCCESS","USPEH"
"Sandbox","Sandbox"
"Secret Key","Skriti ključ"
"Secret Key ID","ID skritega ključa"
"Shipment was created with Checkout by Amazon.","Dostava je bila ustvarjena z naročilom preko Amazon-a."
"Thank you for your purchase!","Hvala za vaš nakup!"
"The customer has canceled payment and successfully returned from Amazon Simple Pay site","Kupec je preklical plačilo in se uspešno vrnil s strani Amazon Simple Pay"
"The customer has successfully returned from Amazon Simple Pay site","Kupec se je uspešno vrnil s strani Amazon Simple Pay"
"The invoice was created (online capture). Waiting for capture confirmation from Amazon Simple Pay service.","Račun je bil ustvarjen (spletno zajemanje). Čakanje na potrditev zajemanja s storitve Amazon Simple Pay."
"The invoice was not refunded. Amazon Simple Pay service error: [%s] %s","Račun ni bil vrnjen. Napaka storitve Amazon Simple Pay: [%s] %s"
"The item specified in callback request XML was not found in quote.","Določeni element v povratnem klicu XML zahtevka ni bil najden v predračunu."
"The order was not canceled. Amazon Simple Pay service error: [%s] %s","Naročilo ni bilo preklicano. Napaka storitve Amazon Simple Pay: [%s] %s"
"The order was not captured online. Authorization confirmation is required.","Naročilo ni bilo zajeto preko spleta. Zahtevana je potrditev avtorizacije."
"The order was not captured. Amazon Simple Pay service error: [%s] %s","Naročilo ni bilo zajeto. Napaka storitve Amazon Simple Pay: [%s] %s"
"The payment was captured online with Amazon Simple Pay service. The invoice was created. Waiting for capture confirmation from the payment service.","Plačilo je bilo zajeto s storitvijo Amazon Simple Pay. Račun je bil ustvarjen. Čakanje na potrditev zajemanja iz storitve plačevanja."
"The payment was refunded online with Amazon Simple Pay service. The credit memo was created. Waiting for refund confirmation from Amazon Simple Pay service.","Plačilo je bilo vrnjeno preko spleta s storitvijo Amazon Simple Pay. Ustvarjen je bil dobropis. Čakanje na potrditev vračila iz storitvije Amazon Simple Pay."
"The payment was refunded online. Waiting for refund confirmation from Amazon Simple Pay service.","Plačilo je bilo povrnjeno preko spleta. Čakanje na povračilo iz storitve Amazon Simple Pay."
"The request is not a valid IPN request.","Zahtevek ni veljaven zahtevek IPN."
"The request was signed incorrectly or the signature is missing.","Zahtevek je bil napačno podpisan ali pa manjka podpis."
"Title","Naslov"
"Use Callback API","Uporabite API povratnega klica"
"You will be redirected to Checkout by Amazon in a few seconds.","Preusmerjeni boste na naročilo z Amazon-om v nekaj sekundah."
"You will receive an order confirmation email with details of your order and a link to track its progress.","Prejeli boste e-pošto potrditve naročila s podrobnostmi vašega naročila in povezavo na sledenje njegovega napredka."
"You will receive an order confirmation email with details of your order and a link to track its progress.<br/>","Prejeli boste e-pošto potrditve naročila s podrobnostmi v vašem naročilu in povezavo na sledenje njegovega napredka.<br/>"
"Your billing address will be ignored and you will be redirected to Checkout by Amazon website.","Vaš naslov za izstavitev računa bo ignoriran in preusmerjeni boste na naročilo s strani Amazon-a."
"Your order has been received.","Vaše naročilo je bilo ustvarjeno."
